frame	time(s)	nformants	F1(Hz)	B1(Hz)	F2(Hz)	B2(Hz)	F3(Hz)	B3(Hz)	F4(Hz)	B4(Hz)	F5(Hz)	B5(Hz)	F6(Hz)	B6(Hz)
104	0.540249	5	272.242	27.084	2240.201	168.423	2943.329	344.640	3229.017	360.486	3705.214	238.656	--undefined--	--undefined--
105	0.545249	5	271.558	28.185	2216.982	168.862	2907.747	359.320	3226.585	280.817	3755.919	283.710	--undefined--	--undefined--
106	0.550249	5	271.253	28.995	2219.619	136.596	2915.588	329.848	3273.808	317.704	3831.910	361.415	--undefined--	--undefined--
107	0.555249	5	271.128	28.531	2224.615	117.016	2911.774	336.291	3294.783	302.728	3877.387	442.106	--undefined--	--undefined--
108	0.560249	5	270.636	29.757	2224.879	115.789	2917.781	349.493	3298.099	301.274	3941.830	550.195	--undefined--	--undefined--
109	0.565249	5	270.944	30.028	2214.353	123.274	2872.268	370.618	3297.971	335.902	3931.123	466.556	--undefined--	--undefined--
110	0.570249	5	271.845	29.627	2209.853	115.939	2814.211	322.525	3308.691	378.415	3845.321	368.474	--undefined--	--undefined--
111	0.575249	5	272.091	31.376	2214.189	133.437	2785.731	348.249	3293.074	425.455	3772.435	311.106	--undefined--	--undefined--
112	0.580249	5	272.613	31.518	2210.397	121.442	2726.929	312.027	3234.400	235.532	3784.261	286.376	--undefined--	--undefined--
113	0.585249	5	272.098	29.061	2210.011	97.251	2730.288	279.041	3239.335	215.930	3793.205	295.648	--undefined--	--undefined--
114	0.590249	5	272.060	29.729	2210.086	94.602	2741.030	310.547	3248.546	262.218	3785.606	307.273	--undefined--	--undefined--
115	0.595249	5	272.802	30.070	2205.483	101.761	2730.225	350.687	3267.005	275.886	3802.099	342.311	--undefined--	--undefined--
116	0.600249	5	273.381	30.420	2205.719	113.427	2726.503	393.364	3280.670	312.958	3832.058	512.799	--undefined--	--undefined--
117	0.605249	5	274.339	33.690	2203.095	116.527	2706.240	385.778	3340.255	390.955	3896.901	915.638	--undefined--	--undefined--
118	0.610249	5	275.436	32.675	2206.653	129.322	2697.006	318.106	3360.933	425.764	3895.437	1057.109	--undefined--	--undefined--
119	0.615249	5	276.736	33.516	2193.350	176.505	2667.146	306.390	3290.413	388.497	3866.379	667.250	--undefined--	--undefined--
120	0.620249	5	276.530	34.438	2141.326	183.742	2620.075	252.092	3267.558	335.723	3817.790	424.248	--undefined--	--undefined--
121	0.625249	5	276.445	32.880	2092.540	160.500	2590.596	217.918	3234.776	207.472	3835.637	365.720	--undefined--	--undefined--
122	0.630249	5	274.230	29.793	2058.289	150.943	2568.437	197.832	3231.804	137.146	4008.649	590.741	--undefined--	--undefined--
123	0.635249	5	271.472	30.893	2039.454	198.296	2556.865	340.276	3277.134	263.525	4246.345	693.129	--undefined--	--undefined--
124	0.640249	5	272.352	54.837	2016.682	269.712	2541.924	429.562	3396.226	560.445	4243.759	855.504	--undefined--	--undefined--
125	0.645249	5	271.393	124.382	1992.394	347.556	2522.117	352.672	3487.891	608.039	4204.846	767.998	--undefined--	--undefined--
126	0.650249	5	251.250	107.893	2032.430	506.228	2503.076	541.410	3519.215	606.614	4366.036	573.688	--undefined--	--undefined--
127	0.655249	5	257.726	65.835	2049.979	566.870	2462.934	717.354	3515.712	387.491	4428.886	362.334	--undefined--	--undefined--
128	0.660249	5	256.855	49.403	1862.427	689.736	2583.054	532.217	3493.767	409.501	4484.775	356.408	--undefined--	--undefined--
129	0.665249	5	250.342	50.266	1651.760	987.128	2702.790	893.114	3427.529	975.529	4574.552	753.669	--undefined--	--undefined--
130	0.670249	6	246.899	54.002	1507.539	1297.448	2002.778	1271.766	3049.375	1055.213	3731.831	643.372	4830.527	548.538
131	0.675249	6	240.412	47.852	1266.819	881.978	2097.611	486.985	3388.261	628.574	3810.881	779.252	4818.382	453.758
