frame	time(s)	nformants	F1(Hz)	B1(Hz)	F2(Hz)	B2(Hz)	F3(Hz)	B3(Hz)	F4(Hz)	B4(Hz)	F5(Hz)	B5(Hz)	F6(Hz)	B6(Hz)	F7(Hz)	B7(Hz)	F8(Hz)	B8(Hz)
107	0.555249	8	266.424	25.672	593.386	831.263	2200.838	97.630	2792.251	422.405	3223.021	284.608	3308.753	1498.975	3819.180	404.714	5041.428	972.766
108	0.560249	8	265.257	26.005	608.395	762.432	2196.682	96.255	2747.585	448.926	3198.638	291.635	3457.398	1094.927	3877.217	598.941	5121.315	989.556
109	0.565249	7	266.018	26.115	621.259	842.507	2188.307	105.961	2715.577	436.992	3179.567	331.491	3618.860	926.761	3926.334	697.997	--undefined--	--undefined--
110	0.570249	7	267.050	26.084	606.417	880.790	2185.577	102.243	2678.490	381.050	3122.341	370.757	3634.661	453.415	4025.135	753.014	--undefined--	--undefined--
111	0.575249	7	267.447	27.527	610.296	1003.705	2191.902	119.287	2665.327	372.174	3113.901	366.050	3638.126	312.235	4067.129	792.273	--undefined--	--undefined--
112	0.580249	7	268.795	28.505	598.920	1181.396	2191.760	104.108	2639.328	283.185	3140.068	258.038	3578.252	412.235	4018.599	555.517	--undefined--	--undefined--
113	0.585249	7	268.918	28.226	581.834	964.797	2188.224	83.214	2641.966	274.148	3179.333	262.286	3479.546	1329.625	3761.258	394.735	--undefined--	--undefined--
114	0.590249	8	268.539	28.680	587.846	915.823	2189.816	83.913	2656.201	324.950	3106.214	1396.085	3211.604	275.695	3764.780	261.043	5076.334	787.731
115	0.595249	8	269.556	29.095	595.069	973.503	2186.338	85.665	2652.690	305.717	3066.308	1854.249	3227.339	231.394	3768.859	241.423	5101.921	696.579
116	0.600249	8	271.618	31.343	576.179	1167.886	2184.687	86.618	2643.280	258.261	2929.234	2998.467	3217.465	185.329	3760.393	236.981	5073.725	527.414
117	0.605249	8	272.990	34.544	568.913	1367.600	2182.509	91.990	2541.565	3894.352	2618.844	252.173	3214.373	233.646	3766.064	292.396	5017.479	427.899
118	0.610249	7	276.325	36.077	502.114	3393.640	2184.465	95.287	2620.203	195.505	3191.694	228.749	3757.619	248.271	5034.349	346.050	--undefined--	--undefined--
119	0.615249	7	278.618	38.192	1401.369	4236.977	2168.718	127.727	2618.930	180.893	3195.640	198.535	3775.077	227.110	5083.071	420.766	--undefined--	--undefined--
120	0.620249	8	278.829	41.195	342.597	1633.445	2110.162	133.704	2576.130	170.757	3001.979	3281.291	3187.673	232.942	3748.241	231.071	5119.832	667.432
121	0.625249	8	277.949	39.592	462.180	1406.978	2064.550	108.696	2545.547	152.930	3177.842	198.466	3507.248	2465.653	3744.515	333.033	5141.268	1119.576
122	0.630249	8	276.194	40.627	513.824	1195.445	2028.874	82.302	2517.701	127.274	3192.870	161.503	3255.582	1441.558	3861.069	537.690	4959.206	586.946
123	0.635249	7	248.428	3524.543	277.523	49.269	2010.715	83.193	2504.323	118.399	3181.507	122.119	3843.427	323.626	4799.349	494.982	--undefined--	--undefined--
124	0.640249	7	267.286	57.778	768.447	859.905	1973.484	87.776	2466.627	107.748	3154.179	163.294	3843.889	212.453	4693.635	417.932	--undefined--	--undefined--
125	0.645249	7	250.545	68.549	838.897	529.970	1959.637	111.369	2474.235	104.187	3176.656	226.553	3858.611	224.889	4608.790	444.739	--undefined--	--undefined--
126	0.650249	7	233.787	78.066	686.926	747.336	1957.346	231.186	2477.523	205.902	3267.954	341.487	3949.532	408.782	4572.623	418.389	--undefined--	--undefined--
127	0.655249	8	246.804	71.686	440.316	570.887	1800.346	256.131	2369.524	175.223	3220.371	370.279	3752.646	457.592	4472.102	300.790	5365.288	1286.623
128	0.660249	8	253.254	55.862	443.262	707.980	1699.701	279.751	2427.241	233.051	3133.576	474.270	3636.846	435.635	4447.343	304.794	5031.444	726.321
129	0.665249	8	253.100	57.517	406.699	1435.816	1521.086	523.534	2327.893	563.479	2963.833	518.423	3579.622	549.623	4375.793	462.349	5012.017	523.046
130	0.670249	7	251.660	61.339	1374.061	622.939	2094.534	545.911	2923.896	516.482	3619.915	395.820	4304.792	728.696	4956.007	435.511	--undefined--	--undefined--
131	0.675249	7	243.742	57.877	1399.343	659.997	2139.300	416.662	3244.443	1087.127	3512.166	553.777	4162.201	786.310	4902.612	349.753	--undefined--	--undefined--
132	0.680249	7	235.464	51.013	1362.621	632.303	2116.488	447.411	2936.459	1866.234	3417.188	650.561	4064.227	621.822	4857.508	624.143	--undefined--	--undefined--
133	0.685249	7	229.343	45.526	1427.575	579.230	2159.912	928.676	2861.783	941.953	3441.075	978.492	4173.211	493.667	4605.951	925.468	--undefined--	--undefined--
134	0.690249	8	233.772	91.197	1270.969	482.412	1922.903	396.780	2740.691	401.211	3261.835	491.480	3921.737	526.562	4289.234	302.885	4840.064	398.309
135	0.695249	8	303.017	441.806	1253.376	534.076	1877.570	291.757	2778.306	350.174	3271.004	438.580	4007.098	601.246	4280.790	320.231	4846.534	315.968
136	0.700249	8	433.895	463.835	1237.706	554.543	1856.103	183.359	2808.936	275.077	3310.640	347.952	4152.744	275.479	4510.759	546.797	4924.062	397.242
137	0.705249	8	397.233	742.269	1083.288	1042.938	1838.376	158.619	2761.716	286.389	3470.543	400.672	4123.932	300.106	4577.421	308.034	5019.289	335.781
138	0.710249	7	543.139	760.822	1821.503	117.194	2590.517	186.932	3531.325	268.119	4098.794	330.230	4485.583	523.071	4806.557	363.279	--undefined--	--undefined--
139	0.715249	7	154.785	256.398	1793.138	113.828	2551.502	173.239	3435.825	190.360	4158.384	318.442	4413.393	384.658	4686.648	244.546	--undefined--	--undefined--
140	0.720249	6	1815.068	116.247	2587.346	104.187	3431.912	186.473	4191.349	532.337	4420.996	180.609	4724.924	294.781	--undefined--	--undefined--	--undefined--	--undefined--
141	0.725249	7	320.019	1947.639	1840.341	63.565	2607.766	113.521	3451.621	219.104	4183.507	748.900	4392.752	104.143	4744.549	347.174	--undefined--	--undefined--
142	0.730249	7	629.474	1379.443	1849.898	52.912	2608.311	273.340	3339.234	196.904	4004.443	509.077	4362.846	82.649	4705.876	302.005	--undefined--	--undefined--
143	0.735249	7	745.382	950.491	1853.114	40.686	2651.976	179.265	3376.863	178.101	4036.331	461.236	4340.523	88.436	4715.815	251.937	--undefined--	--undefined--
144	0.740249	7	859.343	779.581	1850.535	24.869	2631.376	65.610	3525.123	172.800	4096.796	659.582	4347.597	74.426	4740.679	239.033	--undefined--	--undefined--
145	0.745249	7	763.362	722.992	1847.024	19.615	2598.656	45.435	3548.944	166.926	4228.351	756.269	4361.349	59.722	4806.669	221.232	--undefined--	--undefined--
146	0.750249	7	641.979	885.275	1842.535	28.326	2595.848	69.424	3614.121	244.774	4117.934	960.490	4357.447	80.905	4820.006	274.354	--undefined--	--undefined--
147	0.755249	7	334.779	554.538	1846.071	38.422	2645.051	71.212	3720.932	135.924	4327.479	202.496	4492.986	1267.263	4839.706	322.531	--undefined--	--undefined--
148	0.760249	7	354.488	468.984	1834.380	46.565	2633.368	67.746	3737.141	101.419	4312.055	188.561	4542.891	1556.157	4822.187	272.393	--undefined--	--undefined--
149	0.765249	7	544.049	827.532	1782.225	64.925	2636.924	75.161	3639.877	1749.087	3706.859	108.312	4340.292	103.393	4860.203	233.285	--undefined--	--undefined--
150	0.770249	7	790.057	715.029	1786.408	45.337	2636.877	97.830	3420.658	1473.449	3655.125	230.243	4343.762	107.932	4784.004	379.004	--undefined--	--undefined--
151	0.775249	7	835.231	608.581	1779.260	38.114	2616.302	56.700	3404.987	1378.448	3731.216	378.945	4360.378	142.523	4779.132	617.310	--undefined--	--undefined--
152	0.780249	7	910.211	403.612	1772.946	30.548	2620.335	27.792	2816.820	1392.641	3772.305	124.666	4359.019	110.528	4793.875	378.375	--undefined--	--undefined--
153	0.785249	7	771.024	535.247	1789.217	35.246	2284.477	1279.904	2618.823	25.858	3735.358	159.941	4319.828	156.612	4740.775	214.890	--undefined--	--undefined--
154	0.790249	7	641.834	604.339	1794.988	39.522	2010.987	1952.684	2614.324	40.719	3711.685	238.892	4296.098	187.361	4760.454	209.084	--undefined--	--undefined--
155	0.795249	7	623.043	651.224	1803.345	59.899	2647.379	77.320	3254.514	2969.065	3780.776	368.484	4391.282	237.179	4872.843	318.231	--undefined--	--undefined--
156	0.800249	7	678.021	609.097	1809.182	45.673	2679.045	70.585	3297.482	2930.638	3756.768	177.457	4390.901	142.099	4907.316	437.505	--undefined--	--undefined--
157	0.805249	7	666.261	379.257	1789.514	23.315	2708.752	118.237	2960.206	3159.900	3732.660	153.300	4360.846	113.430	4916.709	385.992	--undefined--	--undefined--
158	0.810249	7	760.368	525.826	1783.595	21.624	2735.726	184.020	2976.103	2643.844	3747.195	167.709	4366.849	90.388	4970.584	383.544	--undefined--	--undefined--
159	0.815249	8	248.149	417.452	937.581	601.286	1781.356	44.159	2698.681	159.168	2853.316	1758.806	3770.343	124.559	4347.535	60.730	4991.790	252.986
160	0.820249	8	171.839	524.933	799.381	650.085	1805.652	107.717	2681.236	227.057	3004.361	2006.875	3747.912	170.671	4339.798	92.287	4912.623	343.546
161	0.825249	7	507.309	474.155	1787.656	166.296	1982.123	1575.850	2862.131	379.191	3719.113	290.582	4355.877	199.538	4852.030	432.058	--undefined--	--undefined--
